Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Prefix/Suffix,TinyURL,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
,0,1,1,10,1,0,0,1,0,1,1,1,1,1,1,
,0,1,1,27,1,0,0,0,0,1,1,1,1,1,1,
,0,1,1,18,1,0,0,1,0,1,1,1,1,1,1,
,0,0,1,9,0,0,0,0,0,1,1,1,1,1,1,
,0,1,1,3,1,0,0,1,0,1,1,1,1,1,1,
,0,1,1,17,1,0,0,1,0,1,1,1,1,1,1,
,0,0,1,30,1,0,0,0,0,1,1,1,1,1,1,
,0,0,1,35,1,0,0,0,0,1,1,1,1,1,1,
,0,1,1,27,1,0,0,1,0,1,1,1,1,1,1,
,0,0,1,13,1,0,0,0,0,1,1,1,1,1,1,
,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
,0,1,1,46,1,0,0,1,0,1,1,1,1,1,1,
,0,0,1,30,1,0,0,0,0,1,1,1,1,1,1,
